Model,Data Representation,Test Fold,metric,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,macro avg,weighted avg
EfficientNet-b0,LinGC,7,recall,0.66,1.0,0.93,0.92,0.77,0.8207547169811321,0.9411764705882353,0.7105263157894737,0.8051948051948052,0.93,0.8487652308553647,0.8353221957040573
EfficientNet-b0,LinGC,7,f1-score,0.6502463054187193,0.8750000000000001,0.9253731343283582,0.9435897435897437,0.8062827225130889,0.7873303167420815,0.96,0.7552447552447553,0.8104575163398693,0.9073170731707316,0.8420841567347349,0.8353242740256518
EfficientNet-b0,LinGC,7,support,100.0,28.0,100.0,100.0,100.0,106.0,51.0,76.0,77.0,100.0,838.0,838.0
EfficientNet-b0,LinGC,8,precision,0.5789473684210527,0.7407407407407407,0.717391304347826,0.8736842105263158,0.5357142857142857,0.6116504854368932,0.75,0.7818181818181819,0.6101694915254238,0.6407766990291263,0.6840892767559846,0.6733072467058158
EfficientNet-b0,LinGC,8,recall,0.33,0.6666666666666666,0.7096774193548387,0.83,0.9,0.7159090909090909,1.0,0.5512820512820513,0.45,0.66,0.6813535228212648,0.6633291614518148
EfficientNet-b0,LinGC,8,f1-score,0.42038216560509556,0.7017543859649122,0.7135135135135136,0.8512820512820513,0.6716417910447762,0.6596858638743455,0.8571428571428571,0.6466165413533834,0.5179856115107914,0.6502463054187193,0.6690251086710445,0.6538250319805052
EfficientNet-b0,LinGC,8,support,100.0,30.0,93.0,100.0,100.0,88.0,30.0,78.0,80.0,100.0,799.0,799.0
EfficientNet-b0,LinGC,9,precision,0.8888888888888888,0.7560975609756098,0.8796296296296297,0.963855421686747,0.7738095238095238,0.8095238095238095,0.9666666666666667,0.7254901960784313,0.845360824742268,0.8252427184466019,0.8434565240448176,0.8433355510036051
EfficientNet-b0,LinGC,9,recall,0.56,0.96875,0.95,0.8,0.65,0.9550561797752809,0.9354838709677419,0.9024390243902439,1.0,0.85,0.8571729075133266,0.8357843137254902
EfficientNet-b0,LinGC,9,f1-score,0.6871165644171779,0.8493150684931506,0.9134615384615385,0.8743169398907104,0.7065217391304347,0.8762886597938143,0.9508196721311476,0.8043478260869564,0.9162011173184357,0.8374384236453202,0.8415827549368686,0.8304089664990884
EfficientNet-b0,LinGC,9,support,100.0,32.0,100.0,100.0,100.0,89.0,31.0,82.0,82.0,100.0,816.0,816.0
EfficientNet-b0,LinGC,10,precision,0.8627450980392157,0.9583333333333334,0.6850393700787402,0.7708333333333334,0.927710843373494,0.9418604651162791,0.8888888888888888,0.8545454545454545,0.8461538461538461,0.7777777777777778,0.8513888410640362,0.8391161802002957
EfficientNet-b0,LinGC,10,recall,0.88,0.696969696969697,0.87,0.74,0.77,0.8709677419354839,1.0,0.9791666666666666,0.6626506024096386,0.84,0.8309754707981487,0.8303464755077659
EfficientNet-b0,LinGC,10,f1-score,0.8712871287128714,0.8070175438596493,0.7665198237885462,0.7551020408163266,0.8415300546448088,0.9050279329608939,0.9411764705882353,0.912621359223301,0.7432432432432433,0.8076923076923077,0.8351217905530183,0.8296664265372368
EfficientNet-b0,LinGC,10,support,100.0,33.0,100.0,100.0,100.0,93.0,32.0,96.0,83.0,100.0,837.0,837.0
