Test Fold,Accuracy
1,0.786697247706422
2,0.8502252252252253
3,0.745945945945946
4,0.8454545454545455
5,0.9101604278074866
6,0.7861482381530984
7,0.8353221957040573
8,0.6633291614518148
9,0.8357843137254902
10,0.8303464755077659
