Model,Data Representation,Test Fold,metric,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,macro avg,weighted avg
SqueezeNet,approxGT,7,recall,0.72,0.5,0.78,0.87,0.75,0.33962264150943394,0.9411764705882353,0.23684210526315788,0.5064935064935064,0.8,0.6444134723854333,0.652744630071599
SqueezeNet,approxGT,7,f1-score,0.6233766233766234,0.6086956521739131,0.7222222222222223,0.8787878787878789,0.6550218340611353,0.41379310344827586,0.9696969696969697,0.23684210526315788,0.6499999999999999,0.7582938388625592,0.6516730227892735,0.6469932367684657
SqueezeNet,approxGT,7,support,100.0,28.0,100.0,100.0,100.0,106.0,51.0,76.0,77.0,100.0,838.0,838.0
SqueezeNet,approxGT,8,precision,0.7608695652173914,0.6060606060606061,0.5038759689922481,0.9213483146067416,0.49171270718232046,0.7738095238095238,0.8333333333333334,0.660377358490566,0.559322033898305,0.7415730337078652,0.6852282445298901,0.6832829538659523
SqueezeNet,approxGT,8,recall,0.35,0.6666666666666666,0.6989247311827957,0.82,0.89,0.7386363636363636,1.0,0.44871794871794873,0.4125,0.66,0.6685445710203775,0.6508135168961201
SqueezeNet,approxGT,8,f1-score,0.47945205479452063,0.6349206349206349,0.5855855855855856,0.8677248677248677,0.6334519572953736,0.7558139534883721,0.9090909090909091,0.5343511450381678,0.474820143884892,0.6984126984126984,0.6573623950236022,0.6443812169377936
SqueezeNet,approxGT,8,support,100.0,30.0,93.0,100.0,100.0,88.0,30.0,78.0,80.0,100.0,799.0,799.0
SqueezeNet,approxGT,9,precision,0.4318181818181818,0.8,0.8928571428571429,0.6347826086956522,0.7926829268292683,0.891566265060241,0.9583333333333334,0.631578947368421,0.7788461538461539,0.6985294117647058,0.7510994971573101,0.7296318828673837
SqueezeNet,approxGT,9,recall,0.19,0.75,0.75,0.73,0.65,0.8314606741573034,0.7419354838709677,0.8780487804878049,0.9878048780487805,0.95,0.7459249816564857,0.7365196078431373
SqueezeNet,approxGT,9,f1-score,0.2638888888888889,0.7741935483870969,0.8152173913043479,0.6790697674418604,0.7142857142857142,0.8604651162790697,0.8363636363636364,0.7346938775510203,0.870967741935484,0.8050847457627118,0.7354230428199832,0.7189972612631652
SqueezeNet,approxGT,9,support,100.0,32.0,100.0,100.0,100.0,89.0,31.0,82.0,82.0,100.0,816.0,816.0
SqueezeNet,approxGT,10,precision,0.8375,0.4897959183673469,0.6210526315789474,0.5793103448275863,0.8260869565217391,0.8260869565217391,0.7692307692307693,0.9038461538461539,0.7076923076923077,0.8947368421052632,0.7455338880691853,0.7634182875616186
SqueezeNet,approxGT,10,recall,0.67,0.7272727272727273,0.59,0.84,0.76,0.8172043010752689,0.9375,0.9791666666666666,0.5542168674698795,0.68,0.7555360562484541,0.7455197132616488
SqueezeNet,approxGT,10,f1-score,0.7444444444444446,0.5853658536585367,0.6051282051282052,0.6857142857142856,0.7916666666666667,0.8216216216216217,0.8450704225352113,0.9400000000000001,0.6216216216216216,0.7727272727272727,0.7413360394117866,0.7462040855022118
SqueezeNet,approxGT,10,support,100.0,33.0,100.0,100.0,100.0,93.0,32.0,96.0,83.0,100.0,837.0,837.0
