Test Fold,Accuracy
1,0.7121559633027523
2,0.6858108108108109
3,0.6562162162162162
4,0.7474747474747475
5,0.7893048128342246
6,0.6658566221142163
7,0.652744630071599
8,0.6508135168961201
9,0.7365196078431373
10,0.7455197132616488
