Test Fold,Accuracy
1,0.6903669724770642
2,0.6565315315315315
3,0.5686486486486486
4,0.7515151515151515
5,0.7775401069518717
6,0.68408262454435
7,0.6897374701670644
8,0.6408010012515645
9,0.803921568627451
10,0.7479091995221028
