Test Fold,Accuracy
1,0.7603211009174312
2,0.7792792792792793
3,0.7708108108108108
4,0.8181818181818182
5,0.8673796791443851
6,0.7424058323207776
7,0.7720763723150358
8,0.7421777221526908
9,0.8284313725490197
10,0.8399044205495818
