Test Fold,Accuracy
1,0.7580275229357798
2,0.7725225225225225
3,0.7091891891891892
4,0.7747474747474747
5,0.8064171122994652
6,0.7837181044957473
7,0.7541766109785203
8,0.6983729662077597
9,0.7830882352941176
10,0.8207885304659498
