Model,Data Representation,Test Fold,Epoch,Learning Rate,Training Loss,Validation Loss,Validation Accuracy
ResNet50,approxGT,3,2,5e-05,7.712851220276207e-05,0.0012406117748469114,0.6237837837837837
ResNet50,approxGT,3,3,5e-05,5.039253301220015e-05,0.0011969201732426882,0.6551351351351351
ResNet50,approxGT,3,4,5e-05,3.413692320464179e-05,0.0012706025736406446,0.6918918918918919
ResNet50,approxGT,3,5,5e-05,2.843227775883861e-05,0.0011854588519781828,0.6940540540540541
ResNet50,approxGT,3,6,5e-05,2.2601871023653075e-05,0.001041441923007369,0.7091891891891892
ResNet50,approxGT,3,7,5e-05,1.7621372535359114e-05,0.00120904843788594,0.6713513513513514
ResNet50,approxGT,3,8,5e-05,1.4936220395611599e-05,0.0011983689619228244,0.6810810810810811
ResNet50,approxGT,3,9,5e-05,1.2690787116298452e-05,0.0012418972328305244,0.6810810810810811
ResNet50,approxGT,3,10,5e-05,1.1417147106840275e-05,0.001130851567722857,0.6681081081081081
ResNet50,approxGT,3,11,5e-05,1.1315596566419117e-05,0.001187655609101057,0.707027027027027
ResNet50,approxGT,3,12,5e-05,1.0140915037482046e-05,0.0012852910440415144,0.6832432432432433
ResNet50,approxGT,3,13,5e-05,9.463183232583106e-06,0.001553508103825152,0.6486486486486487
ResNet50,approxGT,3,14,5e-05,8.683991836733185e-06,0.001428354298695922,0.6918918918918919
ResNet50,approxGT,3,15,5e-05,8.16037481854437e-06,0.0016068965196609497,0.6572972972972972
ResNet50,approxGT,3,16,5e-05,7.112030289135873e-06,0.001305707381106913,0.6940540540540541
ResNet50,approxGT,3,17,5e-05,7.089926384651335e-06,0.0014649960212409496,0.6681081081081081
ResNet50,approxGT,3,18,5e-05,6.391510396497324e-06,0.001333042629994452,0.6843243243243243
ResNet50,approxGT,3,19,5e-05,6.297110303421505e-06,0.0013090220745652914,0.6854054054054054
ResNet50,approxGT,3,20,5e-05,5.347613750927849e-06,0.0013512554578483105,0.6724324324324324
ResNet50,approxGT,4,1,5e-05,0.0001826320367399603,0.0009061857126653194,0.704040404040404
ResNet50,approxGT,4,2,5e-05,7.998120418051258e-05,0.0006470331572927535,0.7747474747474747
ResNet50,approxGT,4,3,5e-05,4.977577555109747e-05,0.0007466513197869062,0.7585858585858586
ResNet50,approxGT,4,4,5e-05,3.825522799161263e-05,0.0008434350020252168,0.7373737373737373
ResNet50,approxGT,4,5,5e-05,2.638869409565814e-05,0.0007969953003339469,0.7464646464646465
ResNet50,approxGT,4,6,5e-05,2.1366284272517078e-05,0.00070707913255319,0.794949494949495
ResNet50,approxGT,4,7,5e-05,1.8295353584107943e-05,0.0008434386109001935,0.7565656565656566
ResNet50,approxGT,4,8,5e-05,1.5243062080116943e-05,0.0008627252536825836,0.7595959595959596
ResNet50,approxGT,4,9,5e-05,1.4130537238088436e-05,0.0008280258625745773,0.7484848484848485
ResNet50,approxGT,4,10,5e-05,1.0954106983263046e-05,0.0008553724037483335,0.7747474747474747
ResNet50,approxGT,4,11,5e-05,1.1285791515547317e-05,0.001027091988362372,0.7626262626262627
ResNet50,approxGT,4,12,5e-05,9.974115528166294e-06,0.0008983919396996498,0.7797979797979798
ResNet50,approxGT,4,13,5e-05,8.641803106002044e-06,0.0008313160506077111,0.7757575757575758
ResNet50,approxGT,4,14,5e-05,8.45554950501537e-06,0.0008384853135794401,0.8010101010101011
ResNet50,approxGT,4,15,5e-05,7.99543886387255e-06,0.0009799159597605467,0.7747474747474747
ResNet50,approxGT,4,16,5e-05,7.452016234310577e-06,0.0010095176985487342,0.7818181818181819
ResNet50,approxGT,4,17,5e-05,7.8542898336309e-06,0.0011107672471553087,0.7727272727272727
ResNet50,approxGT,4,18,5e-05,6.347970156639349e-06,0.0011645356426015496,0.7777777777777778
ResNet50,approxGT,4,19,5e-05,7.86700093158288e-06,0.0014064401620998979,0.7414141414141414
ResNet50,approxGT,4,20,5e-05,6.181010121508734e-06,0.0010115904733538628,0.7595959595959596
ResNet50,approxGT,5,1,5e-05,0.0001812522386899218,0.0009650190477259457,0.6930481283422459
ResNet50,approxGT,5,2,5e-05,8.324786904267967e-05,0.0007436377345584333,0.7508021390374332
ResNet50,approxGT,5,3,5e-05,5.510666233021766e-05,0.0007492140284739435,0.7540106951871658
ResNet50,approxGT,5,4,5e-05,4.0223923861049116e-05,0.0006021761219017208,0.8064171122994652
ResNet50,approxGT,5,5,5e-05,2.9099799576215446e-05,0.0006261721136979759,0.7946524064171123
ResNet50,approxGT,5,6,5e-05,2.338112608413212e-05,0.0006331214681267738,0.8010695187165775
ResNet50,approxGT,5,7,5e-05,1.8313294276595116e-05,0.0006692892056889832,0.813903743315508
ResNet50,approxGT,5,8,5e-05,1.5656954928999767e-05,0.0008117625839076936,0.8021390374331551
ResNet50,approxGT,5,9,5e-05,1.3473648323270027e-05,0.0006144396611489356,0.8352941176470589
ResNet50,approxGT,5,10,5e-05,1.2831953426939435e-05,0.0006543021881952882,0.8235294117647058
ResNet50,approxGT,5,11,5e-05,1.168507424154086e-05,0.0008780795033089817,0.7978609625668449
ResNet50,approxGT,5,12,5e-05,9.91748947853921e-06,0.0009160783956758678,0.8
ResNet50,approxGT,5,13,5e-05,9.667631275078747e-06,0.0006673219613730907,0.8310160427807487
ResNet50,approxGT,5,14,5e-05,9.087074431590736e-06,0.0007346407510340214,0.8171122994652407
ResNet50,approxGT,5,15,5e-05,8.229779268731363e-06,0.0008360834326595068,0.813903743315508
ResNet50,approxGT,5,16,5e-05,7.335135705943685e-06,0.000967202999163419,0.7914438502673797
ResNet50,approxGT,5,17,5e-05,7.329384061449673e-06,0.0009081721655093133,0.8021390374331551
ResNet50,approxGT,5,18,5e-05,6.540735284943366e-06,0.0007595664355903864,0.8106951871657754
